,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%
2,Blake Griffin,Oklahoma,Big 12,Career,7.37,68,63,30.9,18.8,8.3,3.6,11.8,2.1,1.1,1.0,2.8,2.5,7.1,11.5,0.618,4.5,7.7,0.589,7.1,11.4,0.622,0.0,0.1,0.3
6,Hasheem Thabeet,UConn,Big East,Career,7.14,100,99,29.3,10.3,5.4,3.0,8.5,0.4,0.4,4.2,1.8,2.6,3.6,5.9,0.611,3.1,5.0,0.625,3.6,5.9,0.611,0.0,0.0,0.0
9,James Harden,Arizona State,Pac-10,Career,7.05,69,68,35.0,19.0,4.1,1.3,5.4,3.7,1.9,0.4,3.0,2.5,6.0,11.9,0.506,5.4,7.2,0.755,4.6,8.0,0.57,1.5,3.9,0.376
11,Tyreke Evans,Memphis,CUSA,Career,4.63,37,35,29.0,17.1,4.1,1.3,5.4,3.9,2.1,0.8,3.6,2.4,6.2,13.6,0.455,3.7,5.2,0.711,5.3,10.3,0.514,0.9,3.4,0.274
14,Jonny Flynn,Syracuse,Big East,Career,8.72,73,73,36.5,16.6,2.1,0.6,2.7,6.0,1.5,0.2,3.1,1.5,5.6,12.2,0.46,4.0,5.1,0.782,4.2,8.1,0.525,1.4,4.2,0.333
18,Stephen Curry,Davidson,Southern,Career,-1.31,104,103,32.6,25.3,3.8,0.8,4.5,3.7,2.1,0.3,3.0,2.4,8.4,17.9,0.467,4.6,5.3,0.8759999999999999,4.4,8.3,0.53,4.0,9.7,0.412
22,Jordan Hill,Arizona,Pac-10,Career,9.93,97,79,27.0,12.5,5.1,2.8,7.9,0.8,0.5,1.4,2.0,2.7,5.1,8.8,0.578,2.3,3.6,0.636,5.1,8.8,0.578,0.0,0.0,0.0
24,DeMar DeRozan,USC,Pac-10,Career,9.15,35,35,33.4,13.9,3.3,2.4,5.7,1.5,0.9,0.4,2.1,2.1,5.5,10.5,0.523,2.7,4.2,0.6459999999999999,5.3,9.5,0.562,0.2,1.0,0.16699999999999998
29,Terrence Williams,Louisville,Big East,Career,7.65,140,127,32.2,11.2,5.5,1.5,6.9,3.9,1.5,0.6,2.4,1.9,4.1,10.3,0.4,1.5,2.6,0.589,2.7,6.0,0.457,1.4,4.4,0.32
34,Tyler Hansbrough,UNC,ACC,Career,8.39,142,141,30.9,20.2,5.2,3.4,8.6,1.1,1.3,0.5,2.1,2.5,6.6,12.3,0.536,6.9,8.7,0.7909999999999999,6.5,12.1,0.541,0.1,0.3,0.316
38,Earl Clark,Louisville,Big East,Career,8.03,104,63,26.7,10.6,4.9,2.1,7.0,1.7,0.9,1.2,2.1,1.7,4.0,8.6,0.467,2.0,3.2,0.64,3.5,6.8,0.512,0.5,1.8,0.298
41,Austin Daye,Gonzaga,WCC,Career,2.85,67,34,22.5,11.6,4.9,0.9,5.8,1.0,0.7,1.9,1.9,2.6,4.1,8.6,0.477,2.5,3.1,0.79,3.2,6.4,0.495,0.9,2.2,0.422
