,Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
0,0,Blake Griffin,2009,1.0,80.5,82.0,83.25,105.0,248.0,8.2,8.78,9.45,1,1
1,1,Terrence Williams,2009,11.0,77.0,78.25,81.0,103.5,213.0,5.1,8.58,9.28,1,1
2,2,Gerald Henderson,2009,12.0,76.0,77.0,82.25,102.5,215.0,4.4,8.69,9.37,1,1
3,3,Tyler Hansbrough,2009,13.0,80.25,81.5,83.5,106.0,234.0,8.5,8.81,9.47,1,1
4,4,Earl Clark,2009,14.0,80.5,82.25,86.5,109.5,228.0,5.2,9.08,9.7,1,1
5,5,Austin Daye,2009,15.0,81.75,82.75,86.75,110.0,192.0,5.5,9.1,9.72,1,1
6,6,James Johnson,2009,16.0,79.0,79.75,84.75,105.5,257.0,12.0,8.92,9.56,1,1
7,7,Jrue Holiday,2009,17.0,75.25,76.25,79.0,100.5,199.0,6.3,8.4,9.13,1,1
8,8,Ty Lawson,2009,18.0,71.25,72.5,72.75,94.5,197.0,6.6,7.83,8.64,1,1
9,9,Jeff Teague,2009,19.0,72.25,73.5,79.5,98.5,175.0,4.5,8.44,9.16,1,1
10,10,Hasheem Thabeet,2009,2.0,85.25,86.5,90.25,113.0,267.0,6.7,9.41,9.98,1,0
11,11,Eric Maynor,2009,20.0,74.25,75.25,74.5,97.0,164.0,5.4,7.99,8.78,1,1
12,12,Darren Collison,2009,21.0,72.25,73.5,75.0,96.5,166.0,5.7,8.04,8.82,1,1
13,13,Omri Casspi,2009,23.0,79.75,81.25,81.25,106.5,211.0,8.6,8.6,9.29,1,1
14,14,Byron Mullens,2009,24.0,83.75,85.25,85.5,111.0,258.0,8.5,8.99,9.62,1,1
15,15,Damion James,2009,24.0,78.25,79.5,84.75,106.0,224.0,8.2,9.25,8.5,1,1
16,16,Rodrigue Beaubois,2009,25.0,73.25,74.25,81.75,100.0,182.0,7.9,8.65,9.34,1,1
17,17,Taj Gibson,2009,26.0,80.5,81.75,88.0,109.0,214.0,6.6,9.21,9.81,1,1
18,18,DeMarre Carroll,2009,27.0,78.25,79.75,82.0,105.0,207.0,6.3,8.67,9.35,1,0
19,19,Greivis Vasquez,2009,28.0,76.75,78.0,79.25,101.0,197.0,6.9,7.75,9.25,1,1
20,20,Wayne Ellington,2009,28.0,76.25,77.25,78.5,100.0,202.0,5.5,8.35,9.08,1,1
21,21,Toney Douglas,2009,29.0,73.0,74.0,78.0,97.5,183.0,5.2,8.31,9.05,1,1
22,22,James Harden,2009,3.0,76.0,77.25,82.75,103.5,222.0,10.1,8.74,9.41,1,1
23,23,Jeff Pendergraph,2009,31.0,80.75,82.0,85.0,107.0,240.0,5.5,8.94,9.58,1,1
24,24,Jermaine Taylor,2009,32.0,75.5,76.75,80.75,101.0,207.0,5.8,8.56,9.26,1,1
25,25,Dante Cunningham,2009,33.0,79.0,80.25,83.0,106.5,227.0,4.8,8.76,9.43,1,1
26,26,DaJuan Summers,2009,35.0,79.25,80.5,84.75,106.5,243.0,6.6,8.92,9.56,1,1
27,27,Sam Young,2009,36.0,77.25,78.75,82.75,105.5,223.0,4.9,8.74,9.41,1,1
28,28,DeJuan Blair,2009,37.0,77.25,78.5,86.0,106.5,277.0,12.0,9.03,9.66,1,1
29,29,Tyreke Evans,2009,4.0,76.0,77.25,83.25,104.0,221.0,7.1,8.78,9.45,1,1
30,30,Derrick Brown,2009,40.0,79.5,80.5,86.5,107.5,225.0,8.6,9.08,9.7,1,1
31,31,Jodie Meeks,2009,41.0,75.0,76.0,76.5,98.0,211.0,8.0,8.17,8.93,1,1
32,32,Marcus Thornton,2009,43.0,74.75,75.75,77.0,99.0,194.0,4.8,8.22,8.97,1,1
33,33,Chase Budinger,2009,44.0,78.25,79.0,79.0,101.0,206.0,10.0,8.4,9.13,1,1
34,34,Danny Green,2009,46.0,77.25,78.5,82.0,103.0,208.0,5.6,8.67,9.35,1,1
35,35,Gani Lawal,2009,46.0,79.75,81.0,84.0,106.0,229.0,7.2,8.5,10.0,1,1
36,36,Jack McClinton,2009,51.0,71.75,72.75,74.5,96.0,185.0,6.2,7.99,8.78,1,1
37,37,A.J. Price,2009,52.0,72.5,74.0,75.75,97.0,193.0,12.4,8.11,8.88,1,1
38,38,Luke Harangody,2009,52.0,78.25,80.0,81.75,106.0,240.0,11.2,8.75,9.75,1,1
39,39,Patrick Mills,2009,55.0,71.25,72.5,74.0,95.0,175.0,6.9,7.95,8.74,1,1
40,40,Jonny Flynn,2009,6.0,71.25,72.75,76.0,95.5,196.0,6.3,8.13,8.9,1,1
41,41,Stephen Curry,2009,7.0,74.0,75.25,75.5,97.0,181.0,5.7,8.08,8.85,1,1
42,42,Jordan Hill,2009,8.0,81.25,82.25,85.5,108.0,232.0,6.0,8.99,9.62,1,1
43,43,Demar DeRozan,2009,9.0,77.5,78.5,81.0,102.5,211.0,4.9,8.58,9.28,1,1
44,44,Dionte Christmas,2009,99.0,76.25,77.5,81.0,102.5,211.0,7.1,8.58,9.28,0,1
45,45,Jeff Adrien,2009,99.0,77.25,78.5,86.0,107.5,236.0,7.9,9.03,9.66,0,1
46,46,Jerel McNeal,2009,99.0,73.5,75.0,79.25,99.5,190.0,5.4,8.42,9.14,0,1
47,47,Joe Ingles,2009,99.0,79.75,80.25,82.25,105.0,209.0,10.1,8.69,9.37,0,1
48,48,Josh Heytvelt,2009,99.0,82.0,83.0,85.25,108.0,246.0,10.8,8.96,9.6,0,1
49,49,Tyler Smith,2009,99.0,77.25,78.0,81.75,104.5,212.0,7.0,8.65,9.34,0,1
50,50,John Wall,2010,1.0,74.75,76.0,81.25,101.5,196.0,5.6,8.25,9.5,1,1
51,51,Paul George,2010,10.0,79.75,80.75,83.25,107.0,214.0,5.0,8.5,9.0,1,0
52,52,Cole Aldrich,2010,11.0,81.0,83.25,88.75,111.5,236.0,8.5,9.0,9.25,1,1
53,53,Xavier Henry,2010,12.0,77.25,78.5,83.25,105.0,210.0,4.7,8.75,10.0,1,1
54,54,Ed Davis,2010,13.0,81.0,81.75,84.0,108.0,227.0,10.0,9.25,10.0,1,1
55,55,Patrick Patterson,2010,14.0,80.0,81.25,85.25,107.0,240.0,5.3,9.25,10.25,1,1
56,56,Larry Sanders,2010,15.0,81.25,82.5,89.75,112.0,222.0,4.6,9.75,11.0,1,1
57,57,Luke Babbitt,2010,16.0,79.5,80.75,83.25,104.5,218.0,5.6,8.5,10.0,1,1
58,58,Eric Bledsoe,2010,18.0,72.25,73.5,79.5,98.0,192.0,5.6,8.5,9.75,1,0
59,59,Avery Bradley,2010,19.0,74.0,75.25,79.25,98.5,180.0,4.0,8.25,9.5,1,1
60,60,Evan Turner,2010,2.0,77.75,79.0,80.0,103.5,214.0,8.6,8.75,9.5,1,1
61,61,James Anderson,2010,20.0,76.75,77.75,80.5,104.0,208.0,7.9,9.0,7.0,1,1
62,62,Craig Brackins,2010,21.0,80.5,81.75,84.0,109.0,229.0,7.9,9.5,11.25,1,1
63,63,Trevor Booker,2010,23.0,78.25,79.5,81.75,106.0,236.0,7.3,9.0,9.5,1,1
64,64,Dominique Jones,2010,25.0,75.25,77.0,81.25,101.0,216.0,5.9,9.0,10.25,1,1
65,65,Jordan Crawford,2010,27.0,75.0,76.5,79.0,101.0,198.0,4.9,8.0,9.0,1,1
66,66,Daniel Orton,2010,29.0,80.75,81.5,88.25,110.5,269.0,13.8,8.5,9.75,1,1
