Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,EFG%,year,last
Blake Griffin,Oklahoma,Big 12,2009,6.88,35,35,33.3,22.7,10.5,3.9,14.4,2.3,1.1,1.2,3.3,2.5,8.6,13.1,0.654,5.5,9.3,0.59,8.5,12.9,0.659,0.1,0.2,0.375,0.6603053435114504,2,1
Hasheem Thabeet,UConn,Big East,2009,8.57,36,36,31.8,13.6,7.1,3.7,10.8,0.5,0.6,4.2,1.9,2.5,4.9,7.7,0.64,3.7,5.9,0.627,4.9,7.7,0.64,0,0,0,0.6363636363636364,3,1
James Harden,Arizona State,Pac-10,2009,7.82,35,35,35.8,20.1,4.2,1.4,5.6,4.2,1.7,0.3,3.4,2.8,6.3,12.9,0.489,5.8,7.7,0.7559999999999999,4.7,8.3,0.564,1.7,4.7,0.35600000000000004,0.5542635658914729,2,1
Tyreke Evans,Memphis,CUSA,2009,4.63,37,35,29,17.1,4.1,1.3,5.4,3.9,2.1,0.8,3.6,2.4,6.2,13.6,0.455,3.7,5.2,0.711,5.3,10.3,0.514,0.9,3.4,0.274,0.48897058823529416,1,1
Jonny Flynn,Syracuse,Big East,2009,9.48,38,38,37.3,17.4,2.2,0.6,2.7,6.7,1.4,0.2,3.4,1.4,5.8,12.5,0.46,4.7,6,0.7859999999999999,4.6,8.8,0.521,1.2,3.7,0.317,0.512,2,1
Stephen Curry,Davidson,Southern,2009,-3.33,34,34,33.7,28.6,3.8,0.6,4.4,5.6,2.5,0.2,3.7,2.4,9.2,20.2,0.454,6.5,7.4,0.8759999999999999,5.4,10.3,0.519,3.8,9.9,0.387,0.5495049504950495,3,1
Jordan Hill,Arizona,Pac-10,2009,8.8,34,34,35.7,18.3,6.8,4.2,11,1.5,0.9,1.7,2.9,3,7.4,13.8,0.537,3.4,5.3,0.654,7.4,13.8,0.537,0,0,0,0.5362318840579711,3,1
DeMar DeRozan,USC,Pac-10,2009,9.15,35,35,33.4,13.9,3.3,2.4,5.7,1.5,0.9,0.4,2.1,2.1,5.5,10.5,0.523,2.7,4.2,0.6459999999999999,5.3,9.5,0.562,0.2,1,0.16699999999999998,0.5333333333333333,1,1
Terrence Williams,Louisville,Big East,2009,8.41,37,36,34.2,12.5,7.2,1.4,8.6,5,2.3,0.8,2.3,1.7,4.6,10.6,0.431,1.8,3.2,0.581,3,6.6,0.459,1.5,4,0.385,0.5047169811320754,4,1
Tyler Hansbrough,UNC,ACC,2009,8.35,34,34,30.3,20.7,5.1,3,8.1,1,1.2,0.4,1.9,2.3,6.6,12.8,0.514,7.3,8.7,0.841,6.3,12.1,0.521,0.3,0.7,0.391,0.52734375,4,1
Earl Clark,Louisville,Big East,2009,8.41,37,36,34.3,14.2,5.9,2.8,8.7,3.2,1,1.4,3.2,1.9,5.5,11.9,0.457,2.4,3.8,0.647,4.6,9.4,0.493,0.8,2.6,0.326,0.4957983193277311,3,1
Austin Daye,Gonzaga,WCC,2009,3.55,34,33,26.3,12.7,5.8,1.1,6.8,1.1,0.7,2.1,2.1,2.9,4.7,9.8,0.477,2.3,3.2,0.706,3.6,7.3,0.494,1.1,2.5,0.429,0.5357142857142857,2,1
Jrue Holiday,UCLA,Pac-10,2009,7.18,35,35,27.1,8.5,2.5,1.3,3.8,3.7,1.6,0.5,2.1,2.1,3.2,7.1,0.45,1.3,1.8,0.726,2.4,4.6,0.528,0.8,2.5,0.307,0.5070422535211268,1,1
Ty Lawson,UNC,ACC,2009,8.35,35,35,29.9,16.6,2.3,0.7,3,6.6,2.1,0.1,1.9,1.7,5.2,9.8,0.532,4.7,5.9,0.7979999999999999,3.7,6.7,0.56,1.5,3.1,0.472,0.6071428571428571,3,1
Jeff Teague,Wake Forest,ACC,2009,7.36,31,31,32,18.8,2.8,0.5,3.3,3.5,1.9,0.6,3.4,2.2,5.8,12,0.485,5.8,7.1,0.8170000000000001,4.4,8.7,0.502,1.5,3.3,0.441,0.5458333333333333,2,1
Eric Maynor,VCU,CAA,2009,-0.65,34,34,35.5,22.4,3.1,0.5,3.6,6.2,1.7,0.2,3,2.4,7.3,15.8,0.463,5.8,7.1,0.815,5.4,10.4,0.516,1.9,5.4,0.361,0.5221518987341772,4,1
Darren Collison,UCLA,Pac-10,2009,7.18,35,35,31.5,14.4,1.9,0.5,2.4,4.7,1.6,0.1,2.5,1.5,5,9.8,0.509,3.2,3.6,0.897,3.8,6.9,0.5579999999999999,1.2,3,0.394,0.5714285714285714,4,1
BJ Mullens,Ohio State,Big Ten,2009,8.23,33,2,20.3,8.8,3,1.7,4.7,0.3,0.5,1.1,1.5,2.1,3.6,5.7,0.638,1.6,2.8,0.5589999999999999,3.6,5.7,0.642,0,0,0,0.631578947368421,1,1
Taj Gibson,USC,Pac-10,2009,9.15,35,35,33.7,14.3,5.5,3.5,9,1.3,1,2.9,2.1,2.9,5.4,9,0.601,3.4,5.2,0.659,5.4,9,0.601,0,0,0,0.6000000000000001,3,1
DeMarre Carroll,Missouri,Big 12,2009,6.72,38,38,28,16.6,4.8,2.4,7.2,2.2,1.6,0.7,1.5,2.2,6.5,11.6,0.5579999999999999,3.2,5,0.634,6.1,10.4,0.579,0.4,1.2,0.364,0.5775862068965517,4,1
Wayne Ellington,UNC,ACC,2009,8.35,38,37,30.4,15.8,3.4,1.5,4.9,2.7,0.9,0.2,1.6,1.5,5.7,11.7,0.483,2.3,2.9,0.777,3.4,6.3,0.539,2.2,5.4,0.417,0.5811965811965812,3,1
Toney Douglas,Florida State,ACC,2009,7.91,35,35,36.5,21.5,3.1,0.8,3.9,2.9,1.8,0.4,2.5,2.2,6.8,15.3,0.446,5.4,6.6,0.81,4.4,9,0.489,2.4,6.3,0.385,0.5228758169934641,4,1
Jeff Pendergraph,Arizona State,Pac-10,2009,7.82,35,35,32.5,14.5,5.7,2.5,8.2,0.9,0.5,0.9,1.2,2.7,5.7,8.6,0.66,3.2,4.1,0.779,5.7,8.5,0.662,0,0,0,0.6627906976744187,4,1
Jermaine Taylor,UCF,CUSA,2009,1.26,31,31,31.9,26.2,3.3,1.9,5.2,1.9,1.3,0.8,2.8,1.8,9.4,19.5,0.48,4.5,5.5,0.812,6.4,11.6,0.551,3,7.9,0.376,0.558974358974359,4,1
Dante Cunningham,Villanova,Big East,2009,8.72,38,38,31.6,16.1,4.9,2.6,7.5,1.2,1.2,1.2,2.2,2.7,6.4,12.2,0.525,3.3,4.7,0.6970000000000001,6.4,12.2,0.527,0,0.1,0,0.5245901639344263,4,1
DaJuan Summers,Georgetown,Big East,2009,8.97,31,31,29.4,13.6,3,1.2,4.1,1.3,1.1,0.7,2.6,2.6,4.4,9.3,0.474,3.1,4.4,0.713,2.7,5,0.552,1.7,4.4,0.385,0.564516129032258,3,1
Sam Young,Pitt,Big East,2009,8.61,36,36,31.8,19.2,4.3,1.9,6.3,1.1,1,0.8,2.4,1.7,7.3,14.4,0.502,3.2,4.3,0.74,5.8,10.4,0.552,1.5,4,0.3720000000000001,0.5590277777777778,4,1
DeJuan Blair,Pitt,Big East,2009,8.61,35,35,27.3,15.7,6.8,5.6,12.3,1.2,1.5,1,1.3,2.7,6.5,10.9,0.593,2.8,4.6,0.605,6.5,10.9,0.593,0,0,0,0.5963302752293578,2,1
Jon Brockman,Washington,Pac-10,2009,8.19,34,34,30.5,14.9,7.3,4.2,11.5,1.1,0.9,0.1,1.9,3,5.6,10.6,0.526,3.7,5.8,0.64,5.6,10.6,0.528,0,0,0,0.5283018867924528,4,1
Derrick Brown,Xavier,A-10,2009,4.65,35,35,29.5,13.7,3.7,2.3,6.1,1.9,0.7,0.9,1.7,2.5,4.9,9.6,0.504,2.9,3.9,0.741,3.7,7.1,0.53,1.1,2.6,0.433,0.5677083333333334,3,1
Jodie Meeks,Kentucky,SEC,2009,4.82,36,36,34.4,23.7,2.9,0.5,3.4,1.8,1.3,0.1,2.7,1.9,7.3,15.8,0.463,5.9,6.5,0.902,4.1,7.8,0.521,3.3,8,0.406,0.5664556962025316,3,1
Marcus Thornton,LSU,SEC,2009,3.27,35,35,31.9,21.1,3.5,2,5.5,2.1,1.6,0.4,1.8,2.1,7.3,15.5,0.472,4.3,5.7,0.745,5.1,9.7,0.522,2.2,5.7,0.388,0.5419354838709678,2,1
Chase Budinger,Arizona,Pac-10,2009,8.8,35,35,37.6,18,4.8,1.4,6.2,3.4,1.4,0.5,2.4,1.9,6.3,13,0.48,3.6,4.5,0.8009999999999999,4.3,8.2,0.528,1.9,4.8,0.399,0.5576923076923077,3,1
Nick Calathes,Florida,SEC,2009,3.88,36,35,33.3,17.2,4.5,0.9,5.3,6.4,1.9,0.2,3.3,1.9,5.7,11.8,0.482,3.8,5.3,0.7070000000000001,3.7,6.6,0.555,2,5.2,0.39,0.5677966101694915,2,1
Danny Green,UNC,ACC,2009,8.35,38,38,27.4,13.1,2.8,1.8,4.7,2.7,1.8,1.3,1.7,2.2,4.8,10.3,0.471,1.4,1.6,0.852,2.8,5.4,0.517,2,4.8,0.418,0.5631067961165048,4,1
Taylor Griffin,Oklahoma,Big 12,2009,6.88,36,36,30,9.6,3.6,2.3,5.8,1.3,1.3,1,1.7,2.8,3.5,6.5,0.536,2.5,3.6,0.7,3.3,6.1,0.5479999999999999,0.1,0.4,0.35700000000000004,0.5461538461538461,4,1
Goran Suton,Michigan State,Big Ten,2009,9.37,32,29,26.7,10.4,5.5,2.9,8.4,1.6,1.1,0.5,1.8,2.5,3.8,7.4,0.521,2.1,2.5,0.848,3.2,5.9,0.5429999999999999,0.7,1.5,0.438,0.5608108108108107,4,1
Jack McClinton,Miami (FL),ACC,2009,9.04,32,31,32.2,19.3,2.5,0.6,3.1,2.8,0.8,0,2.6,1.6,6.3,13.9,0.449,3.6,4.1,0.885,3.1,6.9,0.446,3.2,7,0.453,0.5683453237410072,4,1
A.J. Price,UConn,Big East,2009,8.57,35,35,31.8,14.7,2.9,0.6,3.5,4.7,0.7,0,2.7,1.3,4.9,11.9,0.408,2.7,3.7,0.721,2.5,6.1,0.413,2.3,5.8,0.402,0.5084033613445379,3,1
Robert Vaden,Alabama-Birmingham,CUSA,2009,3.67,34,34,36.5,17.6,4.2,0.7,4.9,2.1,1,0.6,2.5,1.8,6.1,15.4,0.397,2.2,2.9,0.74,2.8,5.8,0.48,3.3,9.5,0.34600000000000003,0.5032467532467533,4,1
Patrick Mills,Saint Mary's,WCC,2009,1.49,26,24,33.3,18.4,1.9,0.5,2.4,3.9,2.2,0.2,2.9,1.7,6.3,15.6,0.402,3.3,3.8,0.8590000000000001,3.7,8,0.464,2.6,7.6,0.338,0.48717948717948717,2,1
Ahmad Nivins,St. Joseph's,A-10,2009,2.21,32,32,39.3,19.2,7.9,3.9,11.8,1,0.8,1.8,2.7,2.2,6.4,10.5,0.612,6.3,8.1,0.787,6.4,10.4,0.614,0,0,0,0.6095238095238096,4,1
Lester Hudson,UT-Martin,OVC,2009,-4.9,32,32,36,27.5,5.8,2.2,7.9,4.2,2.3,0.6,3.3,2.7,9.8,21.8,0.449,4.6,5.3,0.8809999999999999,6.5,12.4,0.52,3.3,9.3,0.355,0.5252293577981652,2,1
Chinemelu Elonu,Texas A&M,Big 12,2009,6.13,34,30,23.8,9.8,4.5,2.9,7.3,0.3,0.3,1.6,1.8,2.8,3.8,5.7,0.665,2.2,3.6,0.628,3.8,5.7,0.665,0,0,0,0.6666666666666666,3,1
Robert Dozier,Memphis,CUSA,2009,4.63,37,36,30.2,12.9,4.6,2.9,7.5,1.4,1.3,1.6,2,2.7,4.5,8.6,0.519,3.4,4.6,0.721,3.9,7.1,0.5489999999999999,0.6,1.5,0.375,0.5581395348837209,4,1
John Wall,Kentucky,SEC,2010,6.82,37,37,34.8,16.6,3.5,0.8,4.3,6.5,1.8,0.5,4,1.9,5.5,11.8,0.461,4.7,6.3,0.754,4.5,8.8,0.509,1,3.1,0.325,0.5084745762711864,1,1
Evan Turner,Ohio State,Big Ten,2010,7.37,31,31,35.7,20.4,7.2,2,9.2,6,1.7,0.9,4.4,2.8,7.6,14.7,0.519,4.5,5.9,0.754,7,13,0.54,0.6,1.8,0.364,0.5374149659863946,3,1
