player,salary,season_end,season_start,team,team_name,salary_proportion,salary_scale,age
Moses Malone,2406000,1991,1990,ATL,Atlanta Hawks,0.008195855744763475,81.95855744763475,35
Dominique Wilkins,2065000,1991,1990,ATL,Atlanta Hawks,0.007034265217346873,70.34265217346872,30
Jon Koncak,1550000,1991,1990,ATL,Atlanta Hawks,0.0052799569428027375,52.799569428027375,27
Doc Rivers,895000,1991,1990,ATL,Atlanta Hawks,0.0030487493314893224,30.487493314893225,29
Rumeal Robinson,800000,1991,1990,ATL,Atlanta Hawks,0.0027251390672530258,27.251390672530256,24
Tim McCormick,775000,1991,1990,ATL,Atlanta Hawks,0.0026399784714013688,26.399784714013688,28
Kevin Willis,685000,1991,1990,ATL,Atlanta Hawks,0.0023334003263354034,23.334003263354035,28
Alexander Volkov,650000,1991,1990,ATL,Atlanta Hawks,0.0022141754921430833,22.141754921430834,26
John Battle,590000,1991,1990,ATL,Atlanta Hawks,0.0020097900620991067,20.097900620991066,28
Sidney Moncrief,510000,1991,1990,ATL,Atlanta Hawks,0.001737276155373804,17.37276155373804,33
Spud Webb,510000,1991,1990,ATL,Atlanta Hawks,0.001737276155373804,17.37276155373804,27
Gary Leonard,200000,1991,1990,ATL,Atlanta Hawks,0.0006812847668132564,6.812847668132564,23
Duane Ferrell,125000,1991,1990,ATL,Atlanta Hawks,0.0004258029792582853,4.258029792582852,25
Dominique Wilkins,3100000,1992,1991,ATL,Atlanta Hawks,0.008753254234033782,87.53254234033783,31
Jon Koncak,2000000,1992,1991,ATL,Atlanta Hawks,0.005647260796150827,56.47260796150827,28
Blair Rasmussen,1558000,1992,1991,ATL,Atlanta Hawks,0.0043992161602014945,43.992161602014946,29
Rumeal Robinson,1025000,1992,1991,ATL,Atlanta Hawks,0.002894221158027299,28.94221158027299,25
Maurice Cheeks,1000000,1992,1991,ATL,Atlanta Hawks,0.0028236303980754135,28.236303980754133,35
Travis Mays,1000000,1992,1991,ATL,Atlanta Hawks,0.0028236303980754135,28.236303980754133,23
Stacey Augmon,875000,1992,1991,ATL,Atlanta Hawks,0.002470676598315987,24.70676598315987,23
Kevin Willis,725000,1992,1991,ATL,Atlanta Hawks,0.0020471320386046747,20.471320386046745,29
Alexander Volkov,675000,1992,1991,ATL,Atlanta Hawks,0.001905950518700904,19.05950518700904,27
Duane Ferrell,500000,1992,1991,ATL,Atlanta Hawks,0.0014118151990377067,14.118151990377067,26
Rodney Monroe,217000,1992,1991,ATL,Atlanta Hawks,0.0006127277963823648,6.127277963823648,23
Gary Leonard,130000,1992,1991,ATL,Atlanta Hawks,0.00036707195174980376,3.670719517498038,24
Paul Graham,125000,1992,1991,ATL,Atlanta Hawks,0.0003529537997594267,3.5295379975942667,24
Dominique Wilkins,3500000,1993,1992,ATL,Atlanta Hawks,0.008763645434123201,87.63645434123201,32
