Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
Blake Griffin,2009,1,80.5,82,83.25,105,248,8.2,8.78,9.45,1,1
Terrence Williams,2009,11,77,78.25,81,103.5,213,5.1,8.58,9.28,1,1
Gerald Henderson,2009,12,76,77,82.25,102.5,215,4.4,8.69,9.37,1,1
Tyler Hansbrough,2009,13,80.25,81.5,83.5,106,234,8.5,8.81,9.47,1,1
Earl Clark,2009,14,80.5,82.25,86.5,109.5,228,5.2,9.08,9.7,1,1
Austin Daye,2009,15,81.75,82.75,86.75,110,192,5.5,9.1,9.72,1,1
James Johnson,2009,16,79,79.75,84.75,105.5,257,12,8.92,9.56,1,1
Jrue Holiday,2009,17,75.25,76.25,79,100.5,199,6.3,8.4,9.13,1,1
Ty Lawson,2009,18,71.25,72.5,72.75,94.5,197,6.6,7.83,8.64,1,1
Jeff Teague,2009,19,72.25,73.5,79.5,98.5,175,4.5,8.44,9.16,1,1
Hasheem Thabeet,2009,2,85.25,86.5,90.25,113,267,6.7,9.41,9.98,1,0
Eric Maynor,2009,20,74.25,75.25,74.5,97,164,5.4,7.99,8.78,1,1
Darren Collison,2009,21,72.25,73.5,75,96.5,166,5.7,8.04,8.82,1,1
Omri Casspi,2009,23,79.75,81.25,81.25,106.5,211,8.6,8.6,9.29,1,1
Byron Mullens,2009,24,83.75,85.25,85.5,111,258,8.5,8.99,9.62,1,1
Damion James,2009,24,78.25,79.5,84.75,106,224,8.2,9.25,8.5,1,1
Rodrigue Beaubois,2009,25,73.25,74.25,81.75,100,182,7.9,8.65,9.34,1,1
Taj Gibson,2009,26,80.5,81.75,88,109,214,6.6,9.21,9.81,1,1
DeMarre Carroll,2009,27,78.25,79.75,82,105,207,6.3,8.67,9.35,1,0
Greivis Vasquez,2009,28,76.75,78,79.25,101,197,6.9,7.75,9.25,1,1
Wayne Ellington,2009,28,76.25,77.25,78.5,100,202,5.5,8.35,9.08,1,1
Toney Douglas,2009,29,73,74,78,97.5,183,5.2,8.31,9.05,1,1
