,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
0,2009,1,LAC,Blake Griffin,University of Oklahoma,9,546,19154,11780,5021,2375,0.507,0.33299999999999996,0.685,19154,21.6,9.2,4.3,69.1,0.17300000000000001,4.0,28.9
1,2009,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.5670000000000001,0.0,0.578,2357,2.2,2.7,0.1,4.8,0.099,-1.4,0.4
2,2009,3,OKC,James Harden,Arizona State University,10,703,23837,16313,3566,4288,0.44299999999999995,0.364,0.853,23837,23.2,5.1,6.1,108.8,0.21899999999999997,6.6,51.4
3,2009,4,SAC,Tyreke Evans,University of Memphis,10,544,17237,8845,2572,2734,0.44299999999999995,0.321,0.759,17237,16.3,4.7,5.0,28.4,0.079,1.0,13.2
4,2009,5,MIN,Ricky Rubio,,8,451,14087,4924,1920,3538,0.385,0.325,0.835,14087,10.9,4.3,7.8,29.0,0.099,1.2,11.5
5,2009,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.33799999999999997,0.809,3738,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7
6,2009,7,GSW,Stephen Curry,Davidson College,10,637,21927,14788,2823,4300,0.478,0.43799999999999994,0.904,21927,23.2,4.4,6.8,95.3,0.209,6.5,47.2
7,2009,8,NYK,Jordan Hill,University of Arizona,8,409,7692,3232,2389,322,0.49700000000000005,0.136,0.6990000000000001,7692,7.9,5.8,0.8,16.4,0.102,-2.0,0.0
8,2009,9,TOR,DeMar DeRozan,University of Southern California,10,695,23718,13790,2859,2203,0.449,0.285,0.828,23718,19.8,4.1,3.2,56.1,0.114,-0.5,8.8
9,2009,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.7959999999999999,16844,14.1,3.0,5.7,29.9,0.085,0.4,10.4
10,2009,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.41200000000000003,0.317,0.659,2922,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4
11,2009,12,CHA,Gerald Henderson,Duke University,8,535,13854,5987,1716,1009,0.44,0.327,0.7929999999999999,13854,11.2,3.2,1.9,18.3,0.063,-2.2,-0.9
12,2009,13,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,7233,6.7,4.2,0.4,20.2,0.134,-2.5,-1.0
13,2009,14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,0.40299999999999997,0.32799999999999996,0.664,3630,4.4,3.0,0.5,2.9,0.038,-3.6,-1.5
14,2009,15,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,0.402,0.35100000000000003,0.778,4132,5.2,2.6,0.7,4.5,0.053,-2.6,-0.6
15,2009,16,CHI,James Johnson,Wake Forest University,10,551,11382,4378,1997,1160,0.479,0.299,0.696,11382,7.9,3.6,2.1,21.9,0.092,1.3,9.4
16,2009,17,PHI,Jrue Holiday,"University of California, Los Angeles",10,606,19946,9141,2259,3824,0.45,0.35600000000000004,0.7859999999999999,19946,15.1,3.7,6.3,35.0,0.084,1.1,15.7
17,2009,18,MIN,Ty Lawson,University of North Carolina,8,551,16088,6977,1506,3316,0.46,0.359,0.77,16088,12.7,2.7,6.0,42.1,0.126,0.7,10.9
18,2009,19,ATL,Jeff Teague,Wake Forest University,10,685,18960,8734,1689,3914,0.446,0.355,0.845,18960,12.8,2.5,5.7,46.8,0.11900000000000001,0.1,10.0
19,2009,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,0.392,0.35,0.721,3896,4.3,1.3,2.8,3.3,0.040999999999999995,-4.7,-2.7
20,2009,21,NOH,Darren Collison,"University of California, Los Angeles",10,652,19193,8181,1696,3174,0.47100000000000003,0.391,0.852,19193,12.5,2.6,4.9,44.2,0.111,0.0,9.5
21,2009,22,POR,Victor Claver,,3,80,1072,258,178,56,0.39799999999999996,0.293,0.585,1072,3.2,2.2,0.7,0.2,0.011000000000000001,-3.3,-0.4
22,2009,23,SAC,Omri Casspi,,10,565,11585,4486,2272,647,0.452,0.369,0.675,11585,7.9,4.0,1.1,18.8,0.078,-1.4,1.7
23,2009,24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,0.408,0.319,0.706,3446,7.4,4.2,0.8,0.6,0.008,-4.6,-2.3
24,2009,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,2896,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
