,2P,2P%,2PA,3P,3P%,3PA,AST,Awards,BLK,Conf,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,Name,ORB,PF,PTS,SOS,STL,School,Season,TOV,TRB, 
0,5.6,0.5710000000000001,9.8,0.0,0.0,0.1,1.8,,0.8,Big 12,5.8,5.6,0.568,9.8,3.5,0.589,6.0,33,28,28.4,Blake Griffin,3.3,2.5,14.7,7.85,1.0,Oklahoma,['2007-08'],2.3,9.1,0
1,8.5,0.659,12.9,0.1,0.375,0.2,2.3,AP POY; NABC POY; TSN POY ...,1.2,Big 12,10.5,8.6,0.654,13.1,5.5,0.59,9.3,35,35,33.3,Blake Griffin,3.9,2.5,22.7,6.88,1.1,Oklahoma,['2008-09'],3.3,14.4,0
2,7.1,0.622,11.4,0.0,0.3,0.1,2.1,,1.0,,8.3,7.1,0.618,11.5,4.5,0.589,7.7,68,63,30.9,Blake Griffin,3.6,2.5,18.8,7.37,1.1,Oklahoma,['Career'],2.8,11.8,0
3,2.2,0.5539999999999999,3.9,0.0,0.0,0.0,0.4,,3.8,Big East,4.0,2.2,0.5539999999999999,3.9,1.9,0.513,3.7,31,31,24.6,Hasheem Thabeet,2.4,2.6,6.2,6.08,0.2,UConn,['2006-07'],1.6,6.4,0
4,3.5,0.603,5.7,0.0,0.0,0.0,0.4,,4.5,Big East,4.9,3.5,0.603,5.7,3.6,0.698,5.1,33,32,31.0,Hasheem Thabeet,2.9,2.6,10.5,6.75,0.3,UConn,['2007-08'],1.8,7.9,0
5,4.9,0.64,7.7,0.0,0.0,0.0,0.5,Big East POY,4.2,Big East,7.1,4.9,0.64,7.7,3.7,0.627,5.9,36,36,31.8,Hasheem Thabeet,3.7,2.5,13.6,8.57,0.6,UConn,['2008-09'],1.9,10.8,0
6,3.6,0.611,5.9,0.0,0.0,0.0,0.4,,4.2,,5.4,3.6,0.611,5.9,3.1,0.625,5.0,100,99,29.3,Hasheem Thabeet,3.0,2.6,10.3,7.14,0.4,UConn,['Career'],1.8,8.5,0
7,4.5,0.5760000000000001,7.8,1.3,0.40700000000000003,3.2,3.2,,0.6,Pac-10,4.0,5.8,0.527,10.9,5.0,0.754,6.6,34,33,34.1,James Harden,1.3,2.1,17.8,6.28,2.1,Arizona State,['2007-08'],2.6,5.3,0
8,4.7,0.564,8.3,1.7,0.35600000000000004,4.7,4.2,Pac-10 POY,0.3,Pac-10,4.2,6.3,0.489,12.9,5.8,0.7559999999999999,7.7,35,35,35.8,James Harden,1.4,2.8,20.1,7.82,1.7,Arizona State,['2008-09'],3.4,5.6,0
9,4.6,0.57,8.0,1.5,0.376,3.9,3.7,,0.4,,4.1,6.0,0.506,11.9,5.4,0.755,7.2,69,68,35.0,James Harden,1.3,2.5,19.0,7.05,1.9,Arizona State,['Career'],3.0,5.4,0
10,5.3,0.514,10.3,0.9,0.27399999999999997,3.4,3.9,0,0.8,CUSA,4.1,6.2,0.455,13.6,3.7,0.711,5.2,37,35,29.0,Tyreke Evans,1.3,2.4,17.1,4.63,2.1,Memphis,['2008-09'],3.6,5.4,
11,5.3,0.514,10.3,0.9,0.27399999999999997,3.4,3.9,0,0.8,,4.1,6.2,0.455,13.6,3.7,0.711,5.2,37,35,29.0,Tyreke Evans,1.3,2.4,17.1,4.63,2.1,Memphis,['Career'],3.6,5.4,
12,3.9,0.529,7.3,1.6,0.348,4.6,5.3,0,0.2,Big East,2.1,5.5,0.45899999999999996,11.9,3.1,0.775,4.1,35,35,35.5,Jonny Flynn,0.6,1.5,15.7,7.96,1.5,Syracuse,['2007-08'],2.7,2.7,
13,4.6,0.521,8.8,1.2,0.317,3.7,6.7,0,0.2,Big East,2.2,5.8,0.46,12.5,4.7,0.7859999999999999,6.0,38,38,37.3,Jonny Flynn,0.6,1.4,17.4,9.48,1.4,Syracuse,['2008-09'],3.4,2.7,
14,4.2,0.525,8.1,1.4,0.33299999999999996,4.2,6.0,0,0.2,,2.1,5.6,0.46,12.2,4.0,0.782,5.1,73,73,36.5,Jonny Flynn,0.6,1.5,16.6,8.72,1.5,Syracuse,['Career'],3.1,2.7,
15,3.5,0.536,6.6,3.6,0.408,8.8,2.8,,0.2,Southern,3.7,7.1,0.46299999999999997,15.4,3.6,0.855,4.3,34,33,30.9,Stephen Curry,0.9,2.6,21.5,-2.25,1.8,Davidson,['2006-07'],2.8,4.6,0
16,4.3,0.54,8.0,4.5,0.439,10.3,2.9,Southern POY,0.4,Southern,3.8,8.8,0.483,18.2,3.8,0.894,4.2,36,36,33.1,Stephen Curry,0.8,2.4,25.9,1.66,2.0,Davidson,['2007-08'],2.6,4.6,0
17,5.4,0.519,10.3,3.8,0.387,9.9,5.6,Southern POY,0.2,Southern,3.8,9.2,0.45399999999999996,20.2,6.5,0.8759999999999999,7.4,34,34,33.7,Stephen Curry,0.6,2.4,28.6,-3.33,2.5,Davidson,['2008-09'],3.7,4.4,0
18,4.4,0.53,8.3,4.0,0.41200000000000003,9.7,3.7,,0.3,,3.8,8.4,0.467,17.9,4.6,0.8759999999999999,5.3,104,103,32.6,Stephen Curry,0.8,2.4,25.3,-1.31,2.1,Davidson,['Career'],3.0,4.5,0
19,2.0,0.652,3.1,0.0,0.0,0.0,0.1,0,0.9,Pac-10,2.5,2.0,0.652,3.1,0.7,0.447,1.6,29,12,14.1,Jordan Hill,1.6,1.8,4.7,10.76,0.2,Arizona,['2006-07'],0.7,4.1,
20,5.4,0.62,8.7,0.0,0.0,0.0,0.8,0,1.6,Pac-10,5.5,5.4,0.62,8.7,2.4,0.6829999999999999,3.5,34,33,29.4,Jordan Hill,2.5,3.1,13.2,10.22,0.5,Arizona,['2007-08'],2.1,7.9,
21,7.4,0.537,13.8,0.0,0.0,0.0,1.5,0,1.7,Pac-10,6.8,7.4,0.537,13.8,3.4,0.654,5.3,34,34,35.7,Jordan Hill,4.2,3.0,18.3,8.8,0.9,Arizona,['2008-09'],2.9,11.0,
22,5.1,0.578,8.8,0.0,0.0,0.0,0.8,0,1.4,,5.1,5.1,0.578,8.8,2.3,0.636,3.6,97,79,27.0,Jordan Hill,2.8,2.7,12.5,9.93,0.5,Arizona,['Career'],2.0,7.9,
23,5.3,0.562,9.5,0.2,0.16699999999999998,1.0,1.5,0,0.4,Pac-10,3.3,5.5,0.523,10.5,2.7,0.6459999999999999,4.2,35,35,33.4,DeMar DeRozan,2.4,2.1,13.9,9.15,0.9,USC,['2008-09'],2.1,5.7,
24,5.3,0.562,9.5,0.2,0.16699999999999998,1.0,1.5,0,0.4,,3.3,5.5,0.523,10.5,2.7,0.6459999999999999,4.2,35,35,33.4,DeMar DeRozan,2.4,2.1,13.9,9.15,0.9,USC,['Career'],2.1,5.7,
25,1.9,0.467,4.2,1.2,0.31,3.9,2.1,0,0.3,Big East,3.7,3.2,0.391,8.1,0.9,0.612,1.5,33,21,25.1,Terrence Williams,1.0,1.8,8.4,6.5,1.0,Louisville,['2005-06'],1.7,4.7,
26,3.2,0.449,7.1,1.4,0.261,5.5,3.8,0,0.7,Big East,4.9,4.6,0.36700000000000005,12.7,1.7,0.604,2.8,34,34,33.0,Terrence Williams,2.1,2.1,12.4,7.69,1.3,Louisville,['2006-07'],2.4,7.0,
27,2.7,0.46,5.9,1.4,0.34,4.0,4.5,0,0.8,Big East,5.8,4.1,0.41100000000000003,9.9,1.7,0.5710000000000001,2.9,36,36,35.9,Terrence Williams,1.4,1.9,11.1,8.0,1.3,Louisville,['2007-08'],2.9,7.2,
28,3.0,0.45899999999999996,6.6,1.5,0.385,4.0,5.0,0,0.8,Big East,7.2,4.6,0.431,10.6,1.8,0.581,3.2,37,36,34.2,Terrence Williams,1.4,1.7,12.5,8.41,2.3,Louisville,['2008-09'],2.3,8.6,
29,2.7,0.457,6.0,1.4,0.32,4.4,3.9,0,0.6,,5.5,4.1,0.4,10.3,1.5,0.589,2.6,140,127,32.2,Terrence Williams,1.5,1.9,11.2,7.65,1.5,Louisville,['Career'],2.4,6.9,
30,6.4,0.5710000000000001,11.1,0.1,0.5,0.1,1.3,,0.7,ACC,4.3,6.4,0.57,11.3,6.0,0.7390000000000001,8.2,31,30,30.4,Tyler Hansbrough,3.6,2.8,18.9,7.77,1.2,UNC,['2005-06'],2.5,7.8,0
31,6.0,0.528,11.3,0.0,0.25,0.1,1.2,,0.4,ACC,4.8,6.0,0.525,11.4,6.4,0.768,8.3,38,38,29.9,Tyler Hansbrough,3.1,2.4,18.4,9.3,1.1,UNC,['2006-07'],1.9,7.9,0
32,7.4,0.547,13.5,0.0,0.0,0.2,0.9,AP POY; NABC POY; TSN POY ...,0.4,ACC,6.4,7.4,0.54,13.7,7.8,0.8059999999999999,9.7,39,39,33.0,Tyler Hansbrough,3.9,2.4,22.6,8.12,1.5,UNC,['2007-08'],2.1,10.2,0
33,6.3,0.521,12.1,0.3,0.391,0.7,1.0,NCAA All-Tournament,0.4,ACC,5.1,6.6,0.514,12.8,7.3,0.841,8.7,34,34,30.3,Tyler Hansbrough,3.0,2.3,20.7,8.35,1.2,UNC,['2008-09'],1.9,8.1,0
34,6.5,0.541,12.1,0.1,0.316,0.3,1.1,,0.5,,5.2,6.6,0.536,12.3,6.9,0.7909999999999999,8.7,142,141,30.9,Tyler Hansbrough,3.4,2.5,20.2,8.39,1.3,UNC,['Career'],2.1,8.6,0
35,1.9,0.504,3.8,0.3,0.37,0.8,0.4,0,0.4,Big East,2.4,2.2,0.48,4.6,1.2,0.597,1.9,32,5,16.0,Earl Clark,1.4,1.2,5.9,7.69,0.7,Louisville,['2006-07'],0.8,3.8,
36,3.7,0.544,6.9,0.4,0.22699999999999998,1.9,1.4,0,1.7,Big East,5.9,4.2,0.47600000000000003,8.8,2.4,0.654,3.6,35,22,28.5,Earl Clark,2.2,1.8,11.1,8.0,1.0,Louisville,['2007-08'],2.3,8.1,
37,4.6,0.493,9.4,0.8,0.326,2.6,3.2,0,1.4,Big East,5.9,5.5,0.457,11.9,2.4,0.647,3.8,37,36,34.3,Earl Clark,2.8,1.9,14.2,8.41,1.0,Louisville,['2008-09'],3.2,8.7,
38,3.5,0.512,6.8,0.5,0.298,1.8,1.7,0,1.2,,4.9,4.0,0.467,8.6,2.0,0.64,3.2,104,63,26.7,Earl Clark,2.1,1.7,10.6,8.03,0.9,Louisville,['Career'],2.1,7.0,
39,2.7,0.49700000000000005,5.5,0.8,0.413,1.9,1.0,0,1.6,WCC,4.0,3.5,0.475,7.4,2.7,0.8809999999999999,3.1,33,1,18.5,Austin Daye,0.7,2.4,10.5,2.15,0.6,Gonzaga,['2007-08'],1.7,4.7,
